Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
23,No,Travel_Rarely,1486,Research & Development,12,2,Life Sciences,1.0,1,3,Male,69,2,3,Research Director,2,Divorced,14880,17152,6,Y,No,23,3,3,80,0,28,1,1,36,6,9,7
30,Yes,Travel_Rarely,676,Research & Development,21,3,Technical Degree,1.0,2,1,Male,40,4,1,Healthcare Representative,4,Married,6272,24737,9,Y,Yes,21,4,2,80,2,31,3,2,25,8,5,6
41,Yes,Non-Travel,1437,Sales,24,3,Medical,1.0,3,3,Male,47,2,1,Laboratory Technician,2,Divorced,3551,5830,9,Y,No,24,4,3,80,3,16,2,4,9,0,4,6
22,Yes,Non-Travel,1245,Sales,3,3,Other,1.0,4,3,Male,39,4,2,Manufacturing Director,4,Married,18161,23435,2,Y,No,12,4,2,80,2,31,0,1,16,0,2,9
30,No,Travel_Frequently,1198,Human Resources,24,4,Human Resources,1.0,5,2,Female,48,1,2,Healthcare Representative,3,Married,16249,11375,3,Y,Yes,17,4,1,80,2,32,3,1,28,15,1,6
51,Yes,Travel_Frequently,692,Human Resources,19,2,Life Sciences,1.0,6,2,Male,76,4,4,Research Director,4,Divorced,3559,8574,0,Y,Yes,24,4,3,80,3,0,4,1,21,8,10,4
54,No,Travel_Rarely,1151,Research & Development,14,4,Human Resources,1.0,7,3,Male,62,4,2,Research Scientist,4,Single,4023,15629,5,Y,Yes,23,4,2,80,0,26,0,1,9,0,14,2
26,Yes,Travel_Rarely,951,Research & Development,12,4,Technical Degree,1.0,8,2,Male,84,2,1,Sales Representative,1,Married,11942,10100,8,Y,No,14,3,2,80,3,39,4,3,10,13,3,7
18,No,Non-Travel,553,Research & Development,5,2,Technical Degree,1.0,9,3,Female,59,2,4,Manager,3,Divorced,12112,22679,3,Y,No,17,4,2,80,3,30,4,3,3,5,9,1
47,Yes,Travel_Frequently,474,Human Resources,26,3,Marketing,1.0,10,4,Female,39,4,4,Laboratory Technician,1,Divorced,3724,15739,7,Y,No,14,4,2,80,1,5,1,4,16,9,12,10
55,Yes,Non-Travel,1188,Research & Development,13,3,Human Resources,1.0,11,3,Female,87,4,1,Research Director,3,Married,5578,22047,3,Y,No,17,3,4,80,0,15,3,4,28,3,8,4
34,No,Non-Travel,783,Human Resources,8,2,Marketing,1.0,12,2,Female,49,3,2,Research Director,4,Divorced,12800,9521,4,Y,No,24,4,1,80,0,37,3,4,33,5,7,7
23,No,Travel_Frequently,469,Sales,27,2,Life Sciences,1.0,13,3,Male,36,2,1,Manufacturing Director,4,Divorced,2951,22344,1,Y,No,13,4,3,80,3,34,3,4,34,13,13,0
42,Yes,Non-Travel,178,Research & Development,7,2,Marketing,1.0,14,1,Female,68,3,2,Manufacturing Director,4,Divorced,13650,12321,0,Y,Yes,23,3,4,80,2,34,5,1,5,9,13,13
40,Yes,Non-Travel,588,Human Resources,15,4,Technical Degree,1.0,15,4,Female,72,4,3,Laboratory Technician,3,Divorced,8830,15850,8,Y,No,20,4,1,80,3,28,2,1,2,1,11,3
38,No,Non-Travel,116,Research & Development,15,1,Marketing,1.0,16,4,Male,72,4,2,Research Director,4,Married,5404,17447,0,Y,Yes,12,3,3,80,2,2,2,4,17,14,13,4
49,Yes,Non-Travel,1448,Research & Development,20,1,Medical,1.0,17,1,Male,33,2,2,Sales Executive,1,Divorced,10039,23149,1,Y,No,19,4,3,80,1,23,0,2,19,5,6,3
22,No,Non-Travel,1270,Sales,1,2,Other,1.0,18,1,Male,39,3,2,Laboratory Technician,1,Single,19950,7355,2,Y,No,13,3,1,80,0,20,0,4,12,3,2,1
23,No,Non-Travel,285,Research & Development,15,3,Marketing,1.0,19,2,Male,85,4,2,Sales Executive,3,Divorced,17125,18918,7,Y,No,15,4,1,80,1,31,1,4,18,3,1,1
29,Yes,Travel_Rarely,1072,Sales,12,4,Marketing,1.0,20,3,Female,87,3,4,Sales Executive,4,Married,9416,11012,2,Y,No,22,3,3,80,2,27,0,2,27,14,4,3
56,Yes,Travel_Rarely,653,Research & Development,26,4,Life Sciences,1.0,21,4,Female,36,4,4,Sales Representative,2,Single,15636,21046,3,Y,No,17,4,3,80,1,1,0,2,16,13,14,3
40,Yes,Travel_Frequently,106,Human Resources,24,4,Other,1.0,22,4,Female,99,3,1,Laboratory Technician,1,Married,9902,16470,6,Y,Yes,14,3,1,80,0,0,0,4,29,9,1,5
49,No,Travel_Frequently,549,Human Resources,26,2,Life Sciences,1.0,23,2,Female,56,2,4,Sales Executive,1,Married,17681,14373,6,Y,No,16,4,2,80,0,4,1,1,2,2,7,7
53,No,Travel_Frequently,1126,Sales,7,4,Human Resources,1.0,24,1,Female,70,4,2,Sales Representative,1,Married,13246,11798,4,Y,Yes,15,3,1,80,2,30,2,3,8,4,3,2
45,Yes,Non-Travel,676,Human Resources,14,4,Human Resources,1.0,25,1,Male,53,1,3,Manager,3,Single,9843,13299,4,Y,Yes,22,4,4,80,2,36,4,3,30,17,13,10
59,Yes,Non-Travel,1170,Human Resources,3,2,Medical,1.0,26,3,Female,55,2,2,Sales Executive,4,Divorced,14435,24878,6,Y,No,18,3,4,80,3,33,2,1,24,11,4,3
59,No,Non-Travel,1363,Human Resources,24,1,Other,1.0,27,2,Male,93,3,2,Laboratory Technician,4,Single,15352,23514,3,Y,Yes,17,3,4,80,2,0,5,3,29,15,5,6
24,Yes,Non-Travel,861,Human Resources,5,4,Technical Degree,1.0,28,2,Male,91,3,1,Healthcare Representative,1,Single,7100,23393,8,Y,Yes,19,4,2,80,1,20,5,1,1,11,14,0
33,Yes,Travel_Rarely,981,Human Resources,29,3,Human Resources,1.0,29,2,Female,49,1,4,Manufacturing Director,1,Married,7127,10033,5,Y,Yes,19,4,1,80,2,39,1,4,12,11,5,6
43,No,Travel_Rarely,1394,Human Resources,15,3,Technical Degree,1.0,30,1,Female,72,2,3,Healthcare Representative,2,Divorced,11946,15447,4,Y,No,14,4,1,80,2,22,2,2,8,8,0,10
25,No,Non-Travel,510,Human Resources,26,4,Other,1.0,31,2,Male,41,3,1,Manager,2,Divorced,9054,22018,0,Y,Yes,13,3,4,80,1,3,1,3,17,2,9,4
32,Yes,Travel_Rarely,1496,Human Resources,15,4,Medical,1.0,32,3,Female,52,1,3,Research Director,4,Single,8119,5444,8,Y,No,19,4,1,80,1,37,5,1,24,7,4,11
27,Yes,Travel_Rarely,675,Research & Development,21,4,Technical Degree,1.0,33,1,Male,97,1,3,Manufacturing Director,4,Single,5860,19385,3,Y,Yes,12,3,4,80,2,2,5,4,0,4,12,12
28,No,Travel_Rarely,227,Human Resources,29,2,Life Sciences,1.0,34,2,Male,78,2,1,Research Scientist,2,Single,18521,6995,3,Y,No,21,4,3,80,1,25,4,1,18,17,6,6
58,Yes,Travel_Frequently,139,Human Resources,26,3,Life Sciences,1.0,35,1,Female,98,4,4,Sales Representative,3,Married,10692,8836,8,Y,No,21,4,4,80,0,24,5,1,29,10,12,6
25,No,Travel_Frequently,587,Research & Development,7,2,Human Resources,1.0,36,3,Female,45,2,3,Research Scientist,4,Married,16209,6764,5,Y,No,23,4,4,80,3,27,2,3,37,4,3,9
26,Yes,Travel_Rarely,1355,Human Resources,22,2,Medical,1.0,37,3,Male,38,4,3,Sales Representative,2,Single,3303,22923,0,Y,No,15,4,3,80,3,36,5,3,36,7,9,13
47,No,Travel_Rarely,1319,Research & Development,3,4,Human Resources,1.0,38,4,Male,79,4,4,Research Scientist,1,Single,9431,7605,1,Y,No,14,4,2,80,2,30,5,3,38,8,7,10
56,No,Travel_Frequently,1160,Research & Development,1,4,Technical Degree,1.0,39,3,Female,71,3,2,Research Director,1,Married,6577,15347,5,Y,No,18,4,4,80,2,6,5,4,5,11,14,7
48,No,Travel_Frequently,275,Sales,15,3,Technical Degree,1.0,40,2,Female,61,4,1,Sales Representative,2,Single,3555,19631,9,Y,No,12,3,2,80,2,24,0,2,30,9,3,4
50,Yes,Travel_Rarely,1186,Human Resources,16,3,Marketing,1.0,41,3,Male,39,4,2,Laboratory Technician,2,Married,9850,12606,6,Y,Yes,11,3,1,80,1,14,3,1,7,12,3,2
19,No,Travel_Rarely,424,Sales,15,1,Other,1.0,42,3,Male,81,2,4,Healthcare Representative,1,Married,8183,8788,8,Y,No,21,3,2,80,3,24,4,4,7,9,6,3
56,Yes,Non-Travel,483,Research & Development,7,2,Life Sciences,1.0,43,4,Female,82,4,2,Sales Executive,2,Single,16022,23588,5,Y,No,16,3,1,80,0,4,5,2,15,12,4,2
21,Yes,Travel_Frequently,476,Human Resources,17,4,Other,1.0,44,2,Male,80,1,2,Laboratory Technician,3,Married,15530,16679,2,Y,Yes,23,3,2,80,2,22,0,1,12,4,3,14
59,Yes,Non-Travel,389,Sales,15,1,Marketing,1.0,45,1,Female,70,1,2,Sales Representative,1,Divorced,5800,9715,7,Y,No,12,3,3,80,1,6,0,3,10,8,7,5
37,Yes,Travel_Frequently,235,Research & Development,12,1,Technical Degree,1.0,46,4,Male,99,1,2,Healthcare Representative,2,Divorced,10595,6184,0,Y,Yes,18,3,4,80,0,30,5,2,19,8,9,1
20,No,Non-Travel,246,Human Resources,19,1,Technical Degree,1.0,47,1,Female,42,4,2,Sales Executive,4,Married,7671,10012,9,Y,Yes,12,4,1,80,0,25,0,3,5,4,1,0
34,No,Non-Travel,166,Research & Development,18,1,Other,1.0,48,4,Male,38,2,2,Sales Executive,2,Single,16134,21977,0,Y,No,18,4,1,80,1,31,2,1,23,10,8,14
32,Yes,Travel_Frequently,1493,Sales,1,2,Other,1.0,49,4,Female,32,2,2,Healthcare Representative,1,Married,11574,14594,7,Y,No,17,3,3,80,0,21,5,1,20,17,2,6
33,Yes,Travel_Frequently,640,Human Resources,19,1,Other,1.0,50,4,Female,87,2,3,Manager,4,Divorced,10539,20839,4,Y,Yes,19,3,3,80,3,18,4,2,10,5,9,14
43,Yes,Travel_Rarely,814,Sales,25,4,Other,1.0,51,2,Male,50,4,4,Healthcare Representative,3,Divorced,12545,11082,3,Y,Yes,14,4,1,80,3,11,4,2,38,11,14,2
38,Yes,Travel_Frequently,1490,Research & Development,24,4,Marketing,1.0,52,4,Male,91,1,1,Research Scientist,1,Divorced,12385,12700,0,Y,Yes,17,4,3,80,0,21,2,4,15,12,13,13
35,Yes,Travel_Frequently,603,Human Resources,18,3,Human Resources,1.0,53,3,Male,37,2,3,Healthcare Representative,4,Married,9533,14991,2,Y,Yes,20,4,4,80,0,3,4,1,32,11,4,11
52,Yes,Non-Travel,120,Human Resources,22,3,Human Resources,1.0,54,1,Female,49,1,2,Manager,4,Married,9853,22807,5,Y,No,17,3,1,80,0,9,4,3,22,9,1,6
51,No,Travel_Rarely,148,Human Resources,17,1,Marketing,1.0,55,2,Female,59,1,3,Sales Representative,2,Married,16690,23668,6,Y,No,19,4,3,80,2,15,2,3,25,7,14,2
43,Yes,Travel_Frequently,957,Sales,11,1,Medical,1.0,56,1,Female,85,3,4,Research Director,2,Married,14735,11623,8,Y,No,13,3,1,80,1,22,4,2,23,0,8,6
44,Yes,Travel_Frequently,538,Human Resources,7,1,Other,1.0,57,3,Male,94,1,3,Research Director,4,Single,6068,12669,2,Y,No,14,4,4,80,2,38,1,2,37,11,1,14
43,Yes,Travel_Frequently,991,Research & Development,13,4,Life Sciences,1.0,58,2,Female,83,2,3,Research Scientist,2,Single,9048,9323,8,Y,No,11,3,2,80,3,33,3,4,11,12,0,5
42,Yes,Non-Travel,958,Human Resources,25,2,Technical Degree,1.0,59,2,Female,54,4,4,Sales Representative,2,Divorced,7588,9771,6,Y,No,19,4,4,80,3,31,4,4,2,0,11,0
27,No,Travel_Frequently,1199,Research & Development,20,1,Human Resources,1.0,60,2,Male,92,4,2,Research Director,1,Divorced,7689,20912,1,Y,No,18,4,1,80,3,24,1,4,36,1,9,11
41,No,Travel_Frequently,1124,Research & Development,14,2,Other,1.0,61,1,Female,71,4,4,Laboratory Technician,3,Married,18676,20182,7,Y,Yes,19,4,2,80,3,29,4,2,24,1,12,8
43,No,Travel_Frequently,430,Human Resources,1,4,Medical,1.0,62,2,Female,95,4,2,Healthcare Representative,2,Married,9119,15096,0,Y,Yes,18,4,1,80,1,24,5,1,20,17,5,1
50,No,Travel_Frequently,1049,Research & Development,3,3,Human Resources,1.0,63,4,Male,30,1,1,Research Scientist,4,Divorced,2960,10163,3,Y,No,22,3,4,80,0,8,3,4,12,7,1,12
41,Yes,Travel_Frequently,774,Human Resources,28,2,Other,1.0,64,2,Male,71,3,4,Manager,3,Married,10101,11217,8,Y,Yes,14,4,4,80,0,31,5,2,3,6,14,5
32,Yes,Travel_Rarely,977,Human Resources,24,2,Human Resources,1.0,65,4,Male,69,3,4,Laboratory Technician,1,Married,10467,17093,7,Y,Yes,24,4,1,80,1,38,2,1,29,14,2,4
45,No,Travel_Rarely,360,Sales,22,1,Life Sciences,1.0,66,3,Male,98,4,1,Sales Executive,3,Divorced,2638,11437,6,Y,No,20,4,1,80,0,22,1,3,7,12,10,13
32,No,Travel_Rarely,943,Sales,8,1,Medical,1.0,67,2,Male,53,4,2,Manufacturing Director,1,Married,14624,12485,9,Y,No,24,3,3,80,0,10,5,1,20,17,13,14
53,No,Travel_Frequently,1118,Research & Development,25,1,Marketing,1.0,68,4,Female,50,4,2,Manager,1,Single,13417,16635,2,Y,No,11,3,4,80,0,30,3,3,7,10,13,7
27,Yes,Non-Travel,1484,Sales,15,2,Marketing,1.0,69,1,Female,90,1,2,Sales Representative,4,Married,2118,22447,7,Y,Yes,13,3,2,80,3,8,3,1,38,7,2,9
53,No,Travel_Frequently,1330,Human Resources,18,1,Marketing,1.0,70,4,Female,35,4,2,Manufacturing Director,3,Divorced,11354,6971,2,Y,Yes,11,4,1,80,0,15,2,3,34,4,14,3
27,Yes,Travel_Rarely,246,Research & Development,18,1,Life Sciences,1.0,71,2,Male,58,4,4,Healthcare Representative,1,Single,12074,18416,3,Y,No,20,4,2,80,3,32,2,4,12,1,4,7
40,Yes,Non-Travel,952,Human Resources,2,2,Other,1.0,72,2,Female,35,2,1,Research Director,4,Married,15324,17512,9,Y,No,13,3,1,80,1,12,5,1,36,6,6,11
35,No,Non-Travel,826,Research & Development,23,1,Life Sciences,1.0,73,1,Female,76,2,2,Sales Representative,1,Married,14639,20678,2,Y,Yes,22,3,4,80,2,16,1,4,30,6,12,10
18,No,Travel_Frequently,1225,Human Resources,2,2,Technical Degree,1.0,74,4,Male,83,3,3,Laboratory Technician,3,Single,6807,5462,1,Y,No,19,4,4,80,1,32,4,3,21,17,9,4
35,Yes,Non-Travel,444,Research & Development,29,4,Marketing,1.0,75,3,Female,37,3,3,Manufacturing Director,1,Single,19415,13893,6,Y,Yes,15,4,3,80,3,32,5,1,23,9,1,11
53,Yes,Non-Travel,1380,Sales,14,3,Technical Degree,1.0,76,3,Female,50,3,2,Healthcare Representative,4,Divorced,12137,14725,4,Y,No,12,3,3,80,2,29,5,2,36,17,0,9
18,Yes,Travel_Frequently,369,Human Resources,13,3,Other,1.0,77,3,Male,82,2,2,Research Director,3,Single,9775,24941,0,Y,No,24,3,4,80,1,20,2,2,36,5,9,11
27,No,Travel_Frequently,765,Sales,26,4,Other,1.0,78,3,Female,38,3,4,Manager,3,Divorced,15136,14179,0,Y,No,12,4,4,80,0,38,5,3,9,7,8,5
43,Yes,Travel_Rarely,1224,Human Resources,3,4,Life Sciences,1.0,79,1,Female,65,2,3,Sales Representative,4,Divorced,15870,22391,9,Y,No,19,4,1,80,1,28,2,4,11,13,13,1
53,Yes,Travel_Rarely,333,Research & Development,28,4,Other,1.0,80,3,Female,62,2,2,Laboratory Technician,1,Single,2197,16517,6,Y,Yes,14,3,3,80,3,5,4,4,37,5,3,14
